rsi_long,rsi_short,allow_slope_or,atr_mult_stop,zone_pad_frac,zz_atr_mult,ext_pref,days,n,netR,pf,maxDD,win%
48,50,False,0.3,0.012,1.7,"('161', '127')",5,11,4.723203396976777,3.3616016984883883,-1.0262381434260428,81.81818181818183
48,48,False,0.3,0.012,1.7,"('161', '127')",5,11,4.723203396976777,3.3616016984883883,-1.0262381434260428,81.81818181818183
48,50,False,0.25,0.012,1.7,"('161', '127')",5,11,4.579297197631318,3.289648598815659,-1.0171651998951639,81.81818181818183
48,48,False,0.25,0.012,1.7,"('161', '127')",5,11,4.579297197631318,3.289648598815659,-1.0171651998951639,81.81818181818183
48,50,False,0.3,0.015,1.7,"('161', '127')",5,11,4.5481417139115266,3.2740708569557633,-1.0262381434260428,81.81818181818183
48,48,False,0.3,0.015,1.7,"('161', '127')",5,11,4.5481417139115266,3.2740708569557633,-1.0262381434260428,81.81818181818183
50,50,False,0.3,0.012,1.7,"('161', '127')",5,9,4.475213504829798,5.4752135048297985,-1.0,88.88888888888889
50,48,False,0.3,0.012,1.7,"('161', '127')",5,9,4.475213504829798,5.4752135048297985,-1.0,88.88888888888889
48,50,False,0.25,0.015,1.7,"('161', '127')",5,11,4.401619932128695,3.2008099660643476,-1.0171651998951639,81.81818181818183
48,48,False,0.25,0.015,1.7,"('161', '127')",5,11,4.401619932128695,3.2008099660643476,-1.0171651998951639,81.81818181818183
48,50,False,0.2,0.012,1.7,"('161', '127')",5,11,4.391124528205089,3.195562264102544,-1.2576772616668919,81.81818181818183
48,48,False,0.2,0.012,1.7,"('161', '127')",5,11,4.391124528205089,3.195562264102544,-1.2576772616668919,81.81818181818183
50,50,False,0.2,0.012,1.7,"('161', '127')",5,9,4.347588457253042,5.3475884572530425,-1.0,88.88888888888889
50,48,False,0.2,0.012,1.7,"('161', '127')",5,9,4.347588457253042,5.3475884572530425,-1.0,88.88888888888889
50,50,False,0.25,0.012,1.7,"('161', '127')",5,9,4.309125437427932,5.309125437427932,-1.0,88.88888888888889
50,48,False,0.25,0.012,1.7,"('161', '127')",5,9,4.309125437427932,5.309125437427932,-1.0,88.88888888888889
50,50,False,0.3,0.015,1.7,"('161', '127')",5,9,4.300151821764548,5.300151821764548,-1.0,88.88888888888889
50,50,False,0.3,0.018,1.7,"('161', '127')",5,9,4.300151821764548,5.300151821764548,-1.0,88.88888888888889
50,48,False,0.3,0.015,1.7,"('161', '127')",5,9,4.300151821764548,5.300151821764548,-1.0,88.88888888888889
50,48,False,0.3,0.018,1.7,"('161', '127')",5,9,4.300151821764548,5.300151821764548,-1.0,88.88888888888889
48,50,False,0.2,0.015,1.7,"('161', '127')",5,11,4.210760582226184,3.105380291113092,-1.2576772616668919,81.81818181818183
48,48,False,0.2,0.015,1.7,"('161', '127')",5,11,4.210760582226184,3.105380291113092,-1.2576772616668919,81.81818181818183
50,50,False,0.2,0.015,1.7,"('161', '127')",5,9,4.167224511274139,5.167224511274139,-1.0,88.88888888888889
50,50,False,0.2,0.018,1.7,"('161', '127')",5,9,4.167224511274139,5.167224511274139,-1.0,88.88888888888889
50,48,False,0.2,0.015,1.7,"('161', '127')",5,9,4.167224511274139,5.167224511274139,-1.0,88.88888888888889
50,48,False,0.2,0.018,1.7,"('161', '127')",5,9,4.167224511274139,5.167224511274139,-1.0,88.88888888888889
50,50,False,0.25,0.015,1.7,"('161', '127')",5,9,4.131448171925309,5.13144817192531,-1.0,88.88888888888889
50,50,False,0.25,0.018,1.7,"('161', '127')",5,9,4.131448171925309,5.13144817192531,-1.0,88.88888888888889
50,48,False,0.25,0.015,1.7,"('161', '127')",5,9,4.131448171925309,5.13144817192531,-1.0,88.88888888888889
50,48,False,0.25,0.018,1.7,"('161', '127')",5,9,4.131448171925309,5.13144817192531,-1.0,88.88888888888889
48,50,False,0.3,0.012,1.9,"('161', '127')",5,11,4.079824507961831,2.969710799567993,-1.0262381434260428,72.72727272727273
48,50,False,0.3,0.015,1.9,"('161', '127')",5,11,4.079824507961831,2.969710799567993,-1.0262381434260428,72.72727272727273
48,48,False,0.3,0.012,1.9,"('161', '127')",5,11,4.079824507961831,2.969710799567993,-1.0262381434260428,72.72727272727273
48,48,False,0.3,0.015,1.9,"('161', '127')",5,11,4.079824507961831,2.969710799567993,-1.0262381434260428,72.72727272727273
48,50,False,0.25,0.012,1.9,"('161', '127')",5,11,3.926787502995883,2.8950169226103717,-1.0171651998951639,72.72727272727273
48,50,False,0.25,0.015,1.9,"('161', '127')",5,11,3.926787502995883,2.8950169226103717,-1.0171651998951639,72.72727272727273
48,48,False,0.25,0.012,1.9,"('161', '127')",5,11,3.926787502995883,2.8950169226103717,-1.0171651998951639,72.72727272727273
